Dataset,Question-Type,Answer-type,Question,gold_10_1,gold_10_2,gold_10_3,gold_50_1,gold_50_2,gold_50_3,gold_100_1,gold_100_2,gold_100_3,gold_250_1,gold_250_2,gold_250_3,gold_500_1,gold_500_2,gold_500_3,gold_750_1,gold_750_2,gold_750_3,gold_1000_1,gold_1000_2,gold_1000_3,base_yes,base_no,base_0%,base_50%,base_100%,base_0,base_100,base_500,base_1000
ste-tweettopic,Calculation,number,What is the number of entries with the 'daily life' topic that also contain at least one other topic?,0,1,1,6,8,12,16,17,22,38,40,53,153,153,153,184,184,184,213,213,213,,,,,,0,100,500,1000
ste-tweettopic,Comparison,yes/no,Is 'daily life' topic more likely to co-occur with 'family' topic than with 'news and social concern' topic?,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
ste-tweettopic,Calculation,percentage,What is the percentage of entries with the 'news and social concern' topic that contain no other topic?,50.00%,0.00%,0.00%,41.18%,41.18%,33.33%,46.67%,42.42%,45.95%,37.50%,36.99%,37.00%,8.54%,8.54%,8.54%,20.66%,20.66%,20.66%,26.38%,26.38%,26.38%,,,0%,50%,100%,,,,
ste-emotion,Count,number,Count entries containing at least four different emotions.,2,0,1,5,7,5,13,9,17,32,33,19,179,179,179,206,206,206,224,224,224,,,,,,0,100,500,1000
ste-emotion,Count,number,How many entries express only one single emotion?,0,2,0,5,8,4,16,13,21,45,55,47,45,45,45,87,87,87,134,134,134,,,,,,0,100,500,1000
ste-emotion,Calculation,percentage,Calculate the percentage of entries with both 'sadness' and 'anger'.,10.00%,10.00%,20.00%,12.00%,6.00%,12.00%,14.00%,14.00%,9.00%,11.60%,13.20%,12.40%,12.20%,12.20%,12.20%,12.27%,12.27%,12.27%,12.40%,12.40%,12.40%,,,0.00%,50.00%,100.00%,,,,
ste-emotion,Calculation,percentage,What is the percentage difference between the number of 'optimism' and 'disgust' entries?,30.00%,30.00%,0.00%,10.00%,4.00%,28.00%,6.00%,7.00%,6.00%,14.80%,8.40%,8.80%,3.60%,3.60%,3.60%,5.47%,5.47%,5.47%,6.30%,6.30%,6.30%,,,0.00%,50.00%,100.00%,,,,
ste-emotion,Count,number,Return the count of instances with the most frequent emotion.,6,4,5,26,27,25,38,37,45,102,100,98,198,198,198,290,290,290,379,379,379,,,,,,0,100,500,1000
ste-emotion,Existence,yes/no,Does any entry in the dataset express more than three emotions?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
ste-emotion,Comparison,yes/no,Are there more entries expressing fear than any other single emotion?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
ste-emotion,Comparison,yes/no,Are there more entries containing both 'anger' and 'disgust' than those containing both 'optimism' and 'trust'?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
ste-emotion,Comparison,yes/no,Does the 'trust' emotion make up the smallest number of entries?,yes,yes,yes,no,yes,yes,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
ste-emotion,Comparison,yes/no,Does the percentage of entries that express at least two emotions exceed 30% of the total data?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
ste-emotion,Existence,yes/no,Does every single entry express at least two emotions?,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
ste-emotion,Comparison,yes/no,Is the combined count of 'trust' and 'love' entries greater than the count of joy entries?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
ste-emotion,Comparison,yes/no,Do entries expressing 'love' emotion account more than 30% of the total dataset?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
ste-emotion,Comparison,yes/no,Is the proportion for any single emotion category greater than 40% of the total?,yes,yes,yes,yes,yes,yes,no,no,yes,yss,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
ste-emotion,Comparison,yes/no,Do entries expressing both 'anger' and 'optimism' make up the largest number of entries?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
ste-emotion,Count,number,How many instances express at least two emotions?,10,8,10,45,42,46,84,87,79,205,195,203,455,455,455,663,663,663,886,886,866,,,,,,0,100,500,1000
ste-emotion,Calculation,number,What is the total count of entries that contain either 'joy' or 'sadness'?,5,5,8,36,37,29,65,64,67,152,163,146,325,325,325,481,481,481,635,635,635,,,,,,0,100,500,1000
ste-emotion,Calculation,percentage,Calculate the percentage of entries in the dataset that express at least two emotions.,100.00%,80.00%,100.00%,90.00%,84.00%,92.00%,84.00%,87.00%,79.00%,82.00%,78.00%,81.20%,91.00%,91.00%,91.00%,88.40%,88.40%,88.40%,86.60%,86.60%,86.60%,,,0.00%,50.00%,100.00%,,,,
ste-emotion,Calculation,percentage,What is the percentage of instances that express the 'anger' emotion?,30.00%,40.00%,40.00%,32.00%,26.00%,38.00%,36.00%,32.00%,32.00%,36.80%,34.40%,39.20%,35.20%,35.20%,35.20%,35.73%,35.73%,35.73%,36.10%,36.10%,36.10%,,,0.00%,50.00%,100.00%,,,,
ste-emotion,Calculation,percentage,What is the percentage of entries that do not contain the 'joy' emotion?,70.00%,90.00%,50.00%,48.00%,46.00%,72.00%,64.00%,63.00%,55.00%,66.00%,60.00%,65.20%,60.40%,60.40%,60.40%,61.33%,61.33%,61.33%,62.20%,62.20%,62.20%,,,0.00%,50.00%,100.00%,,,,
ste-emotion,Existence,yes/no,Does the dataset contain entries expressing the 'anger' emotion?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
ste-emotion,Existence,yes/no,Does the dataset only contain entries expressing the 'surprise' emotion?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
ste-emotion,Existence,yes/no,Does the dataset contain entries expressing either the 'disgust' or 'fear' emotion?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
ste-emotion,Existence,yes/no,Does the dataset contain any entries that do not express the 'optimism' emotion?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
ste-emotion,Existence,yes/no,Does the dataset contain entries that neither include the 'joy' nor 'love' emotion?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
ste-emotion,Count,number,What is the number of instances expressing the 'joy' emotion?,3,1,5,26,27,14,36,37,45,85,100,87,198,198,198,290,290,290,378,378,378,,,,,,0,100,500,1000
ste-emotion,Count,number,How many entries do not express the 'trust' emotion?,9,9,9,46,47,48,91,94,95,233,236,235,429,429,429,666,666,666,907,907,907,,,,,,0,100,500,1000
ste-emotion,Calculation,number,How many entries express either the 'anger' or 'disgust' emotion?,6,5,3,17,16,26,42,40,39,114,106,112,252,252,252,362,362,362,473,473,473,,,,,,0,100,500,1000
ste-emotion,Count,number,Return the total number of instances which express the least prevalent emotion.,1,1,1,3,3,2,5,3,5,10,14,15,71,71,71,84,84,84,93,93,93,,,,,,0,100,500,1000
ste-emotion,Calculation,percentage,What is the total percentage of entries that express the 'anger' or 'sadness' emotions in the dataset?,50.00%,70.00%,50.00%,46.00%,40.00%,56.00%,51.00%,50.00%,45.00%,56.40%,50.00%,53.20%,57.80%,57.80%,57.80%,56.27%,56.27%,56.27%,55.70%,55.70%,55.70%,,,0.00%,50.00%,100.00%,,,,
ste-emotion,Calculation,percentage,"What is the percentage of the most frequent emotion category (among 'disgust', 'joy', 'anger', 'sadness' and 'optimism') out of the total data?",60.00%,40.00%,50.00%,52.00%,54.00%,50.00%,38.00%,37.00%,45.00%,40.80%,40.00%,39.20%,39.60%,39.60%,39.60%,38.67%,38.67%,38.67%,37.90%,37.90%,37.90%,,,0.00%,50.00%,100.00%,,,,
ste-emotion,Calculation,percentage,"What is the percentage of the least frequent emotion category (among 'love', 'surprise' and 'trust') out of the total data?",10.00%,10.00%,10.00%,6.00%,6.00%,4.00%,5.00%,3.00%,5.00%,4.00%,5.60%,6.00%,14.20%,14.20%,14.20%,11.20%,11.20%,11.20%,9.30%,9.30%,9.30%,,,0.00%,50.00%,100.00%,,,,
ste-emotion,Calculation,number,What is the absolute difference between the number of entries that express the 'anger' and 'disgust' emotions?,2,0,0,1,2,6,4,4,2,10,1,5,14,14,14,19,19,19,18,18,18,,,,,,0,100,500,1000
ste-emotion,Comparison,yes/no,Does the number of entries expressing the 'optimism' emotion exceed those expressing the 'joy' emotion?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
ste-emotion,Comparison,yes/no,Are there fewer instances expressing the 'joy' emotional state than the 'love' emotion?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
ste-emotion,Comparison,yes/no,Do entries expressing the 'anticipation' emotion make up the largest number of dataset instances?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
ste-emotion,Comparison,yes/no,Are instances expressing the 'surprise' emotion less frequent than either 'anger' or 'sadness' emotions?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
ste-emotion,Comparison,yes/no,Are instances containing joy emotion more frequent than those containing either 'optimism' or 'trust' emotion?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
ste-emotion,Comparison,yes/no,Does the percentage of 'trust 'emotion entries exceed the percentage of 'joy' emotion entries?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
ste-emotion,Comparison,yes/no,Does the 'joy' emotional state have a lower percentage than the 'fear' emotion in the dataset?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
ste-emotion,Comparison,yes/no,Are either the 'anger' or 'disgust' emotion instances less frequent than the 'love' emotion instances?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
ste-emotion,Comparison,yes/no,Are either the 'anger' or 'disgust' emotion instances more frequent than the 'optimism' emotion?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
ste-emotion,Comparison,yes/no,Do entries expressing the 'sadness' emotion represent less than 40% of the dataset?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
ste-emotion,Comparison,yes/no,Is the proportion of 'optimism' emotion entries between 40% and 60%?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
ste-emotion,Comparison,yes/no,Is the distribution of the 'joy' and 'love' emotion relatively balanced (within ±10%)?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
ste-emotion,Comparison,yes/no,Is the number of instances in the most frequent emotion category more than 3 times that of the least frequent?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
ste-emotion,Comparison,yes/no,Is the number of entries which express the 'sadness' emotion greater than those do not express it?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
ste-emotion,Comparison,yes/no,Is the percentage of entries which do not express the 'disgust 'emotion greater than the percentage of those expressing it?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
ste-emotion,Comparison,yes/no,"Does the number of instances within a simple emotion category (among 'disgust', 'joy', 'anger', 'sadness' and 'optimism') individually exceed 30% of the total dataset?",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
ste-emotion,Existence,yes/no,Does the dataset contain entries that express both 'joy' and 'love' emotion in a single entry?,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
ste-emotion,Existence,yes/no,Does the dataset contain entries expressing either 'disgust' and 'fear' emotion together or 'anger' and 'trust' together?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
ste-emotion,Existence,yes/no,Do any entries contain 'anger' exclusively (without expressing any other emotions)?,no,no,yes,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
ste-emotion,Count,number,What is the total count of entries expressing both the 'disgust' and 'fear' emotions in a single entry?,3,0,0,3,2,2,6,11,9,19,18,12,48,48,48,67,67,67,82,82,82,,,,,,0,100,500,1000
ste-emotion,Count,number,How many entries express only 'fear' (and no other emotions)?,0,0,0,1,2,2,0,0,4,11,4,5,6,6,6,12,12,12,19,19,19,,,,,,0,100,500,1000
ste-emotion,Count,number,What is the total number of unique emotion categories present across the entire dataset?,8,8,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,,,,,,0,100,500,1000
ste-emotion,Count,number,What is the maximum number of emotion categories expressed in any single entry?,3,3,5,5,4,5,5,5,6,5,5,6,6,6,6,6,6,6,6,6,6,,,,,,0,100,500,1000
ste-emotion,Calculation,percentage,What is the percentage of total instances that consist exclusively in the 'sadness' emotional state?,10.00%,0.00%,0.00%,0.00%,2.00%,6.00%,3.00%,2.00%,3.00%,3.20%,5.20%,2.40%,1.20%,1.20%,1.20%,1.60%,1.60%,1.60%,1.90%,1.90%,1.90%,,,0.00%,50.00%,100.00%,,,,
ste-emotion,Calculation,percentage,"Among the entries with the 'joy' emotion, what percentage also express the 'love' emotion?",0.00%,0.00%,0.00%,34.62%,25.93%,28.57%,36.11%,32.43%,33.33%,18.82%,22.00%,31.03%,26.26%,26.26%,26.26%,27.24%,27.24%,27.24%,26.72%,26.72%,26.72%,,,0.00%,50.00%,100.00%,,,,
ste-emotion,Comparison,yes/no,Is the number of multi-emotion entries greater than single-emotion entries?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
ste-emotion,Comparison,yes/no,Do entries expressing at least two emotion categories exceed 60% of the total data?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
ste-emotion,Comparison,yes/no,Is the ratio of 'joy' emotion entries to 'anger' emotion entries greater than 2:1?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
ste-emotion,Comparison,yes/no,Is the ratio of 'disgust' emotion entries to 'love' emotion entries less than 1:1?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
ste-emotion,Calculation,percentage,What is the percentage of entries with the 'sadness' emotion that also contain at least one other emotion?,0.00%,0.00%,100.00%,100.00%,83.33%,84.21%,89.29%,94.12%,85.71%,87.69%,84.15%,91.78%,96.55%,96.55%,96.55%,95.12%,95.12%,95.12%,94.06%,94.06%,94.06%,,,0.00%,50.00%,100.00%,,,,
ste-emotion,Comparison,yes/no,Is 'joy' emotion more likely to co-occur with 'optimism' emotion than with 'trust' emotion?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
ste-emotion,Calculation,percentage,What is the percentage of entries with the 'joy' emotion that contain no other emotions?,0.00%,16.67%,0.00%,10.00%,11.76%,26.67%,7.14%,5.56%,10.81%,13.79%,7.78%,12.35%,4.04%,4.04%,4.04%,6.55%,6.55%,6.55%,7.67%,7.67%,7.67%,,,0.00%,50.00%,100.00%,,,,
te-hate_speech_detection,Existence,yes/no,Does the dataset contain hateful entries?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
te-hate_speech_detection,Existence,yes/no,Does the dataset only contain hateful entries?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
te-hate_speech_detection,Calculation,percentage,Return the percentage of non-hateful entries.,60.00%,60.00%,60.00%,58.00%,58.00%,58.00%,58.00%,58.00%,58.00%,58.00%,58.00%,58.00%,58.00%,58.00%,58.00%,58.00%,58.00%,58.00%,58.00%,58.00%,58.00%,,,0.00%,50.00%,100.00%,,,,
te-hate_speech_detection,Count,number,How many entries express hateful content?,4,4,4,21,21,21,42,42,42,105,105,105,210,210,210,315,315,315,420,420,420,,,,,,0,100,500,1000
te-hate_speech_detection,Comparison,yes/no,Is the percentage of non-hateful entries less than 35%?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
te-hate_speech_detection,Count,number,How many non-hateful entries are present in the dataset?,6,6,6,29,29,29,58,58,58,145,145,145,290,288,290,435,435,435,580,580,580,,,,,,0,100,500,1000
te-hate_speech_detection,Calculation,number,What is the combined count of hateful and non-hateful entries?,10,10,10,50,50,50,100,100,100,250,250,250,500,498,500,750,750,750,999,1000,1000,,,,,,0,100,500,1000
te-hate_speech_detection,Calculation,percentage,What is the proportion of hateful entries?,40.00%,40.00%,40.00%,42.00%,42.00%,42.00%,42.00%,42.00%,42.00%,42.00%,42.00%,42.00%,42.00%,42.00%,42.00%,42.00%,42.00%,42.00%,42.00%,42.00%,42.00%,,,0.00%,50.00%,100.00%,,,,
te-hate_speech_detection,Calculation,percentage,What is the absolute difference between the percentage of hateful entries and non-hateful entries?,20.00%,20.00%,20.00%,16.00%,16.00%,16.00%,16.00%,16.00%,16.00%,16.00%,16.00%,16.00%,16.00%,16.00%,16.00%,16.00%,16.00%,16.00%,16.00%,16.00%,16.00%,,,0.00%,50.00%,100.00%,,,,
te-hate_speech_detection,Comparison,yes/no,Are hateful instances the least frequent in the dataset?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
te-hate_speech_detection,Comparison,yes/no,Is the proportion of non-hateful entries between 25% and 40%?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
te-hate_speech_detection,Comparison,yes/no,Does either category (hateful or non-hateful) account for more than 70% of the dataset?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
te-hate_speech_detection,Calculation,percentage,Return the percentage of hateful entries in the dataset.,40.00%,40.00%,40.00%,42.00%,42.00%,42.00%,42.00%,42.00%,42.00%,42.00%,42.00%,42.00%,42.00%,42.00%,42.00%,42.00%,42.00%,42.00%,42.00%,42.00%,42.00%,,,0.00%,50.00%,100.00%,,,,
te-hate_speech_detection,Comparison,yes/no,Is the proportion of hateful entries above 30%?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
te-hate_speech_detection,Existence,yes/no,Is every entry in the dataset hateful?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
te-hate_speech_detection,Comparison,yes/no,Does the percentage difference between hateful and non-hateful entries exceed 10%?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
te-hate_speech_detection,Comparison,yes/no,Does the number of non-hateful instances exceed the number of hateful ones?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
te-hate_speech_detection,Calculation,percentage,What is the percentage of the more frequent category (between hateful and non-hateful) out of the total data?,60.00%,60.00%,60.00%,58.00%,58.00%,58.00%,58.00%,58.00%,58.00%,58.00%,58.00%,58.00%,58.00%,58.00%,58.00%,58.00%,58.00%,58.00%,58.00%,58.00%,58.00%,,,0.00%,50.00%,100.00%,,,,
te-hate_speech_detection,Count,number,Return the number of non-hateful entries in the dataset.,6,6,6,29,29,29,58,58,58,145,145,145,290,288,290,435,435,435,579,580,580,,,,,,0,100,500,1000
te-hate_speech_detection,Calculation,number,What is the absolute difference in the number of entries between the most frequent and least frequent categories?,2,2,2,8,8,8,16,16,16,40,40,40,80,78,80,120,120,120,159,160,160,,,,,,0,100,500,1000
te-hate_speech_detection,Existence,yes/no,Does the dataset contain entries expressing the non-hate content?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
te-hate_speech_detection,Existence,yes/no,Does the dataset contain either hateful or non-hateful entries?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
te-hate_speech_detection,Existence,yes/no,Does the dataset contain entries that are neither hateful nor non-hateful?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
te-hate_speech_detection,Count,number,How many entries are not hateful?,6,6,6,29,29,29,58,58,58,145,145,145,290,288,290,435,435,435,580,580,580,,,,,,0,100,500,1000
te-hate_speech_detection,Calculation,number,How many entries are either hateful or non-hateful?,10,10,10,50,50,50,100,100,100,250,250,250,500,498,500,750,750,750,999,1000,1000,,,,,,0,100,500,1000
te-hate_speech_detection,Count,number,Return the total number of instances in the least frequent category (hateful or non-hateful).,4,4,4,21,21,21,42,42,42,105,105,105,210,210,210,315,315,315,420,420,420,,,,,,0,100,500,1000
te-hate_speech_detection,Calculation,percentage,What is the percentage of non-hateful entries?,60.00%,60.00%,60.00%,58.00%,58.00%,58.00%,58.00%,58.00%,58.00%,58.00%,58.00%,58.00%,58.00%,58.00%,58.00%,58.00%,58.00%,58.00%,58.00%,58.00%,58.00%,,,0.00%,50.00%,100.00%,,,,
te-hate_speech_detection,Calculation,percentage,What is the combined percentage of hateful and non-hateful entries in the dataset?,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,,,0.00%,50.00%,100.00%,,,,
te-hate_speech_detection,Calculation,percentage,What is the percentage of the less frequent category (hateful or non-hateful) out of the total data?,40.00%,40.00%,40.00%,42.00%,42.00%,42.00%,42.00%,42.00%,42.00%,42.00%,42.00%,42.00%,42.00%,42.00%,42.00%,42.00%,42.00%,42.00%,42.00%,42.00%,42.00%,,,0.00%,50.00%,100.00%,,,,
te-hate_speech_detection,Calculation,number,What is the absolute difference in the number of hateful and non-hateful entries?,2,2,2,8,8,8,16,16,16,40,40,40,80,78,80,120,120,120,159,160,160,,,,,,0,100,500,1000
te-hate_speech_detection,Comparison,yes/no,Are there fewer non-hateful instances compared to hateful ones?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
te-hate_speech_detection,Comparison,yes/no,Are hateful entries the most frequent in the dataset?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
te-hate_speech_detection,Comparison,yes/no,Does the percentage of non-hateful entries exceed the percentage of hateful entries?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
te-hate_speech_detection,Comparison,yes/no,Do non-hateful entries have a lower percentage than hateful entries in the dataset?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
te-hate_speech_detection,Comparison,yes/no,Is the distribution of hateful vs. non-hateful entries relatively balanced (within ±10%)?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
te-hate_speech_detection,Comparison,yes/no,Is the number of instances in the most frequent category more than 5 times that of the least frequent?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
te-hate_speech_detection,Comparison,yes/no,Is the number of non-hateful entries greater than the number of hateful entries?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
te-hate_speech_detection,Comparison,yes/no,Is the percentage of non-hateful entries greater than that of hateful entries?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
te-hate_speech_detection,Comparison,yes/no,Does any single category (hateful or non-hateful) individually exceed 30% of the total dataset?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
te-hate_speech_detection,Existence,yes/no,Do all the entries in this dataset contain hateful or non-hateful content?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
te-hate_speech_detection,Existence,yes/no,Does the dataset contain at least one non-hateful entry?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
te-hate_speech_detection,Existence,yes/no,Does the dataset include both hateful and non-hateful labeled entries?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
te-hate_speech_detection,Existence,yes/no,Are all entries in the dataset non-hateful?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
te-hate_speech_detection,Comparison,yes/no,Is the number of hateful instances less than half of the dataset?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
te-hate_speech_detection,Comparison,yes/no,Are there more hateful instances than non-hateful ones?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
te-hate_speech_detection,Comparison,yes/no,Is the count of hateful entries smaller than non-hateful entries?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
te-hate_speech_detection,Comparison,yes/no,Is the ratio of hateful to non-hateful entries greater than 3:1?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
te-hate_speech_detection,Comparison,yes/no,Is the number of non-hateful entries smaller than those that are hateful?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
